Date,PNB Price,PNB Open,PNB High,PNB Low,PNB Vol.,Change %,HDFC Price,HDFC Open,HDFC High,HDFC Low,HDFC Vol.,HDFC Change %,,,Dropdown,,,,,,,,,Date,HDFC Price,PNB Price
22-05-2024,745.35,742,747.5,735,173.70K,0.65%,560.4,565.6,566.8,559.65,3.82M,-0.92%,,,,,,,,,,,,22-05-2024,560.40,745.35
21-05-2024,740.55,747.5,747.5,733.35,163.70K,-0.90%,565.6,569.4,570,563.05,5.58M,-0.67%,,,,,,,,,,,,21-05-2024,565.60,740.55
18-05-2024,747.3,738.6,750.85,737.65,21.23K,1.63%,569.4,569.4,569.4,569.4,"
",-0.14%,,,,,,,,,,,,18-05-2024,569.40,747.3
17-05-2024,735.3,743.7,751,732.05,218.43K,-1.13%,570.2,567.05,572,561.45,3.99M,0.56%,,,,,,,,,,,,17-05-2024,570.20,735.3
16-05-2024,743.7,739.9,754,739.1,182.21K,0.94%,567.05,557,568.2,550.7,4.54M,2.00%,,,,,,,,,,,,16-05-2024,567.05,743.7
15-05-2024,736.75,735.9,745.75,733.35,175.60K,0.61%,555.95,561.55,562,555,2.42M,-1.00%,,,,,,,,,,,,15-05-2024,555.95,736.75
14-05-2024,732.3,729.95,738,722.25,293.08K,0.63%,561.55,566,568,560,5.35M,0.34%,,,,,,,,,,,,14-05-2024,561.55,732.3
13-05-2024,727.75,738.7,741.65,714.1,177.30K,-1.60%,559.65,553.8,568.45,547.15,7.87M,2.02%,,,,,,,,,,,,13-05-2024,559.65,727.75
10-05-2024,739.6,755.95,757.25,735.55,236.20K,-2.16%,548.55,542.8,553.8,539.55,7.52M,1.67%,,,,,,,,,,,,10-05-2024,548.55,739.6
09-05-2024,755.95,758.4,770.2,752.65,318.42K,-0.13%,539.55,551.05,551.9,538,13.57M,-1.98%,,,,,,,,,,,,09-05-2024,539.55,755.95
08-05-2024,756.9,759.05,765.6,753.1,193.86K,-0.38%,550.45,552.1,553.95,548,6.72M,-0.34%,,,,,,,,,,,,08-05-2024,550.45,756.9
07-05-2024,759.8,775,775.05,752,290.44K,-1.78%,552.35,559.5,561.95,549.6,7.78M,-0.49%,,,,,,,,,,,,07-05-2024,552.35,759.8
06-05-2024,773.55,803.8,803.8,770.5,252.93K,-2.86%,555.05,569.9,569.9,550.2,8.76M,-1.92%,,,,,,,,,,,,06-05-2024,555.05,773.55
03-05-2024,796.3,803,804.5,792,289.09K,-0.09%,565.9,581.8,581.8,565.25,8.57M,-1.81%,,,,,,,,,,,,03-05-2024,565.90,796.3
02-05-2024,797,795.8,809,795,405.07K,0.15%,576.35,584.3,586.55,573.4,8.29M,-1.25%,,,,,,,,,,,,02-05-2024,576.35,797
30-04-2024,795.8,814.6,819.9,791.1,1.32M,-0.85%,583.65,576.55,588.5,576.05,9.93M,1.49%,,,,,,,,,,,,30-04-2024,583.65,795.8
